"","Player","Nationality","Pos","Squad"
"1","Erling Haaland","NOR","FW","Manchester City"
"2","Harry Kane","ENG","FW","Tottenham"
"3","Marcus Rashford","ENG","FW","Manchester Utd"
"4","Ivan Toney","ENG","FW","Brentford"
"5","Aleksandar Mitrovi?","SRB","FW","Fulham"
"6","Miguel Almirón","PAR","FW","Newcastle Utd"
"7","Rodrigo","ESP","FW,MF","Leeds United"
"8","James Maddison","ENG","MF,FW","Leicester City"
"9","Martinelli","BRA","FW","Arsenal"
"10","Bukayo Saka","ENG","FW","Arsenal"
"11","Harvey Barnes","ENG","MF,FW","Leicester City"
"12","Phil Foden","ENG","FW,DF","Manchester City"
"13","Mohamed Salah","EGY","FW","Liverpool"
"14","Roberto Firmino","BRA","FW,MF","Liverpool"
"15","Pascal Groß","GER","MF,DF","Brighton"
"16","Danny Ings","ENG","FW","Aston Villa"
"17","Darwin Núñez","URU","FW","Liverpool"
"18","Julián Álvarez","ARG","FW,MF","Manchester City"
"19","Rodrigo Bentancur","URU","MF","Tottenham"
"20","Bruno Fernandes","POR","MF,FW","Manchester Utd"
"21","Kai Havertz","GER","FW,MF","Chelsea"
"22","Son Heung-min","KOR","MF,FW","Tottenham"
"23","Gabriel Jesus","BRA","FW","Arsenal"
"24","Brennan Johnson","WAL","FW,MF","Nott'ham Forest"
"25","Alexis Mac Allister","ARG","MF","Brighton"
"26","Riyad Mahrez","ALG","FW,MF","Manchester City"
"27","Solly March","ENG","FW,DF","Brighton"
"28","Bryan Mbeumo","CMR","FW","Brentford"
"29","Kaoru Mitoma","JPN","FW,MF","Brighton"
"30","Rúben Neves","POR","MF","Wolves"
"31","Daniel Podence","POR","FW,MF","Wolves"
"32","Che Adams","SCO","FW","Southampton"
"33","Taiwo Awoniyi","NGA","FW","Nott'ham Forest"
"34","Leon Bailey","JAM","FW,MF","Aston Villa"
"35","Philip Billing","DEN","MF,FW","Bournemouth"
"36","Jarrod Bowen","ENG","FW,MF","West Ham"
"37","Emi Buendía","ARG","MF,FW","Aston Villa"
"38","Kevin De Bruyne","BEL","MF","Manchester City"
"39","Eberechi Eze","ENG","MF,FW","Crystal Palace"
"40","Pierre Højbjerg","DEN","MF","Tottenham"
"41","Kieffer Moore","WAL","FW","Bournemouth"
"42","Eddie Nketiah","ENG","FW","Arsenal"
"43","Bobby Reid","JAM","FW,DF","Fulham"
"44","Jadon Sancho","ENG","FW,MF","Manchester Utd"
"45","Raheem Sterling","ENG","FW,MF","Chelsea"
"46","Crysencio Summerville","NED","FW","Leeds United"
"47","Jaidon Anthony","ENG","MF,FW","Bournemouth"
"48","Michail Antonio","JAM","FW","West Ham"
"49","Antony","BRA","FW","Manchester Utd"
"50","Saïd Benrahma","ALG","FW,MF","West Ham"
"51","Patson Daka","ZAM","FW","Leicester City"
"52","Josh Dasilva","ENG","MF","Brentford"
"53","Luis Díaz","COL","FW","Liverpool"
"54","Odsonne Édouard","FRA","FW","Crystal Palace"
"55","Evan Ferguson","IRL","FW","Brighton"
"56","Anthony Gordon","ENG","FW","Everton"
"57","Demarai Gray","ENG","FW,MF","Everton"
"58","Jack Grealish","ENG","FW","Manchester City"
"59","Bruno Guimarães","BRA","MF","Newcastle Utd"
"60","?lkay Gündo?an","GER","MF","Manchester City"
"61","Kelechi Iheanacho","NGA","FW","Leicester City"
"62","Alexander Isak","SWE","FW,MF","Newcastle Utd"
"63","Vitaly Janelt","GER","MF,DF","Brentford"
"64","Mathias Jensen","DEN","MF","Brentford"
"65","Jefferson Lerma","COL","MF,DF","Bournemouth"
"66","Anthony Martial","FRA","FW","Manchester Utd"
"67","Ben Mee","ENG","DF","Brentford"
"68","Mason Mount","ENG","MF,FW","Chelsea"
"69","João Palhinha","POR","MF","Fulham"
"70","Gianluca Scamacca","ITA","FW","West Ham"
"71","Bernardo Silva","POR","MF,FW","Manchester City"
"72","Dominic Solanke","ENG","FW,MF","Bournemouth"
"73","Manor Solomon","ISR","FW","Fulham"
"74","Marcus Tavernier","ENG","MF,FW","Bournemouth"
"75","Youri Tielemans","BEL","MF","Leicester City"
"76","Joe Aribo","NGA","MF,FW","Southampton"
"77","João Cancelo","POR","DF","Manchester City"
"78","Fabio Carvalho","POR","MF,FW","Liverpool"
"79","Casemiro","BRA","MF","Manchester Utd"
"80","Ben Davies","WAL","DF","Tottenham"
"81","Kiernan Dewsbury-Hall","ENG","MF","Leicester City"
"82","Eric Dier","ENG","DF","Tottenham"
"83","Gabriel Dos Santos","BRA","DF","Arsenal"
"84","Emerson","BRA","DF","Tottenham"
"85","Fred","BRA","MF","Manchester Utd"
"86","Cody Gakpo","NED","FW","Liverpool"
"87","Alejandro Garnacho","ESP","FW","Manchester Utd"
"88","Morgan Gibbs-White","ENG","MF,FW","Nott'ham Forest"
"89","Degnand Gnonto","ITA","FW,MF","Leeds United"
"90","Danny Ings","ENG","FW","West Ham"
"91","Joelinton","BRA","MF,FW","Newcastle Utd"
"92","Jorginho","ITA","MF","Chelsea"
"93","Kalidou Koulibaly","SEN","DF","Chelsea"
"94","Dejan Kulusevski","SWE","MF,FW","Tottenham"
"95","Adam Lallana","ENG","MF,FW","Brighton"
"96","Douglas Luiz","BRA","MF","Aston Villa"
"97","Dwight McNeil","ENG","FW,MF","Everton"
"98","Reiss Nelson","ENG","FW","Arsenal"
"99","Michael Olise","FRA","MF,FW","Crystal Palace"
"100","Lucas Paquetá","BRA","MF","West Ham"
"101","Thomas Partey","GHA","MF","Arsenal"
"102","Andreas Pereira","BRA","MF","Fulham"
"103","Romain Perraud","FRA","DF","Southampton"
"104","Jacob Ramsey","ENG","MF","Aston Villa"
"105","Harrison Reed","ENG","MF","Fulham"
"106","Declan Rice","ENG","MF","West Ham"
"107","Rodri","ESP","MF","Manchester City"
"108","William Saliba","FRA","DF","Arsenal"
"109","Ryan Sessegnon","ENG","DF","Tottenham"
"110","Luis Sinisterra","COL","FW","Leeds United"
"111","Pascal Struijk","NED","DF","Leeds United"
"112","Brenden Aaronson","USA","MF,FW","Leeds United"
"113","Tosin Adarabioyo","ENG","DF","Fulham"
"114","Rayan Aït Nouri","FRA","DF","Wolves"
"115","Marc Albrighton","ENG","FW,MF","Leicester City"
"116","Carlos Alcaraz","ARG","MF","Southampton"
"117","Trent Alexander-Arnold","ENG","DF","Liverpool"
"118","Joachim Andersen","DEN","DF","Crystal Palace"
"119","Adam Armstrong","ENG","FW","Southampton"
"120","Stuart Armstrong","SCO","MF,FW","Southampton"
"121","Pierre-Emerick Aubameyang","GAB","FW","Chelsea"
"122","Serge Aurier","CIV","DF","Nott'ham Forest"
"123","Jordan Ayew","GHA","FW,MF","Crystal Palace"
"124","Stefan Bajcetic","ESP","MF","Liverpool"
"125","Patrick Bamford","ENG","FW","Leeds United"
"126","Armando Broja","ALB","FW","Chelsea"
"127","Moisés Caicedo","ECU","MF","Brighton"
"128","Dominic Calvert-Lewin","ENG","FW","Everton"
"129","Timothy Castagne","BEL","DF","Leicester City"
"130","Ben Chilwell","ENG","DF,MF","Chelsea"
"131","Ryan Christie","SCO","MF,FW","Bournemouth"
"132","Conor Coady","ENG","DF","Everton"
"133","Séamus Coleman","IRL","DF","Everton"
"134","Liam Cooper","SCO","DF","Leeds United"
"135","Philippe Coutinho","BRA","MF,FW","Aston Villa"
"136","Craig Dawson","ENG","DF","Wolves"
"137","Emmanuel Dennis","NGA","FW","Nott'ham Forest"
"138","Lucas Digne","FRA","DF","Aston Villa"
"139","Issa Diop","FRA","DF","Fulham"
"140","Matt Doherty","IRL","DF,MF","Tottenham"
"141","Harvey Elliott","ENG","MF,FW","Liverpool"
"142","Christian Eriksen","DEN","MF","Manchester Utd"
"143","João Félix","POR","MF,FW","Chelsea"
"144","Junior Firpo","ESP","DF","Leeds United"
"145","Pablo Fornals","ESP","FW,MF","West Ham"
"146","Conor Gallagher","ENG","MF,FW","Chelsea"
"147","João Gomes","BRA","MF","Wolves"
"148","Sam Greenwood","ENG","MF,FW","Leeds United"
"149","Gonçalo Guedes","POR","FW,MF","Wolves"
"150","Jack Harrison","ENG","FW,MF","Leeds United"
"151","Alex Iwobi","NGA","MF,FW","Everton"
"152","Daniel James","WAL","FW","Fulham"
"153","Reece James","ENG","DF,MF","Chelsea"
"154","Cheikhou Kouyaté","SEN","MF,DF","Nott'ham Forest"
"155","Roméo Lavia","BEL","MF","Southampton"
"156","Sean Longstaff","ENG","MF","Newcastle Utd"
"157","Lisandro Martínez","ARG","DF","Manchester Utd"
"158","Jean-Philippe Mateta","FRA","FW","Crystal Palace"
"159","Neal Maupay","FRA","FW","Everton"
"160","Nampalys Mendy","SEN","MF","Leicester City"
"161","Yerry Mina","COL","DF","Everton"
"162","Jacob Murphy","ENG","FW","Newcastle Utd"
"163","Christian Nørgaard","DEN","MF","Brentford"
"164","Lewis O'Brien","ENG","MF","Nott'ham Forest"
"165","Amadou Onana","BEL","MF","Everton"
"166","Alex Oxlade-Chamberlain","ENG","FW,MF","Liverpool"
"167","Emerson Palmieri","ITA","DF","West Ham"
"168","Dennis Praet","BEL","MF,FW","Leicester City"
"169","Christian Pulisic","USA","FW,DF","Chelsea"
"170","Tim Ream","USA","DF","Fulham"
