"","Squad","MP","W","D","L","GF","GA","GD","Pts","Pts.MP","xG","xGA","xGD","xGD.90","Notes"
"1","Arsenal",-2.68153267223102,0.769982758636008,-1.95109976993554,-1.88498872493966,0.155792537158135,-1.90247897677224,1.13659012794612,0.453066821692655,2.20435860851414,0.7879183204588,22.8,22.3,0.93,"UCL"
"2","Manchester City",-2.45487642645149,0.603355349793091,-1.62422493852392,-1.70517262146773,0.837339280510348,-1.75843006393488,1.52640218666227,0.338698061838347,1.81126509762241,1.0934141760754,20.9,31.9,1.28,"UCL"
"3","Manchester Utd",-2.68153267223102,0.270100532107256,-1.62422493852392,-1.5253565179958,-0.468958644248061,-1.54235669467883,0.51289083400029,-0.00440821772457732,1.46184864349642,0.541934644507772,28.6,10.3,0.43,"UCL"
"4","Tottenham",-2.68153267223102,-0.0631542855785789,-1.95109976993554,-0.985908207580022,-0.298571958410008,-1.03818549974807,0.356966010513832,-0.404698877214655,0.828531320393081,0.375300541444174,28.8,5.9,0.24,"UCL"
"7","Liverpool",-2.90818891801055,-0.563036512107331,-0.970475275700675,-1.16572431105195,-0.639345330086115,-1.54235669467883,0.395947216385446,-0.747805156777579,0.43543780950135,0.617316738750829,32.1,8.7,0.38,"Regular"
"8","Brighton",-3.13484516379007,-0.563036512107331,-1.2973501071123,-1.16572431105195,-0.582549768140097,-1.47033223826015,0.395947216385446,-0.804989536704733,0.479114866267098,0.426877763821002,26.5,9.5,0.43,"Regular"
"9","Brentford",-2.90818891801055,-0.896291329793166,0.66389888135744,-1.70517262146773,-0.696140892032132,-1.39830778184147,0.279003598770603,-0.804989536704733,0.32624516758698,0.28008105397926,29,3.3,0.14,"Regular"
"10","Chelsea",-2.90818891801055,-0.896291329793166,-0.643600444289052,-0.985908207580022,-1.49127875927638,-1.90247897677224,0.00613515766930121,-1.03372705641335,-0.0450098149218761,0.105511993626918,29.1,-1.2,-0.05,"Regular"
"11","Aston Villa",-2.68153267223102,-0.729663920950248,-1.62422493852392,-0.44645989716424,-1.09370982565426,-0.822112130492028,-0.305714489303615,-1.03372705641335,-0.17604098521912,0.145186780070632,37.3,-8.4,-0.35,"Regular"
"12","Crystal Palace",-2.68153267223102,-1.229546147479,0.010149218534194,-0.806092104108095,-1.60486988316842,-1.32628332542279,-0.383676901046844,-1.26246457612197,-0.525457439345103,-0.112699331813509,33.7,-11.3,-0.47,"Regular"
"13","Nott'ham Forest",-2.68153267223102,-1.229546147479,-0.643600444289052,-0.44645989716424,-1.77525656900647,-0.534014304817306,-0.929413783249447,-1.37683333597627,-0.722004194790968,0.0102925061620042,38.1,-12.6,-0.52,"Regular"
"14","Leicester City",-2.68153267223102,-1.06291873863608,-1.95109976993554,0.0929884132515428,-0.75293645397815,-0.534014304817306,-0.227752077560386,-1.43401771590343,-0.809358308322464,0.117414429560032,39.8,-11.5,-0.48,"Regular"
"15","Wolves",-2.68153267223102,-1.229546147479,-0.970475275700675,-0.266643793692312,-1.77525656900647,-1.18223441258543,-0.578582930404917,-1.43401771590343,-0.809358308322464,-0.0611221094366812,33.3,-9.6,-0.4,"Regular"
"16","West Ham",-2.68153267223102,-1.229546147479,-1.2973501071123,-0.0868276902203847,-1.49127875927638,-1.47033223826015,-0.227752077560386,-1.49120209583058,-0.896712421853959,0.228503831602431,26.4,4.6,0.19,"Regular"
"17","Leeds United",-2.68153267223102,-1.39617355632192,-0.643600444289052,-0.266643793692312,-1.15050538760027,-0.750087674073347,-0.383676901046844,-1.54838647575774,-0.984066535385455,0.204698959736203,35.1,-4.7,-0.2,"Regular"
"18","Everton",-2.68153267223102,-1.39617355632192,-0.970475275700675,-0.0868276902203847,-1.83205213095249,-1.25425886900411,-0.578582930404917,-1.60557085568489,-1.07142064891695,0.0063250275176327,39,-13.6,-0.57,"Relegated"
"19","Bournemouth",-2.68153267223102,-1.39617355632192,-0.970475275700675,-0.0868276902203847,-1.5480743212224,-0.101867566305222,-1.00737619499268,-1.60557085568489,-1.07142064891695,-0.215853776567166,40.1,-20.2,-0.84,"Relegated"
"22","Liverpool",0.491654768682357,2.43625684706518,-0.316725612877429,-2.06480482841159,2.54120613889088,-1.6864056075162,2.65685715693909,2.45452011914304,2.29171272204563,2.51773900940473,33.8,54.9,1.45,"UCL"
"23","Chelsea",0.491654768682357,1.26986498516476,0.66389888135744,-1.34554041452388,1.51888602386256,-1.18223441258543,1.68232701014873,1.42520128045427,1.26530188805056,1.51396691237877,33.2,30.1,0.79,"UCL"
"24","Tottenham",0.491654768682357,1.43649239400768,-1.2973501071123,-0.44645989716424,1.12131709024044,-0.678063217654667,1.13659012794612,1.25364814067281,1.09059366098757,1.4266823822026,39.3,21.9,0.58,"UCL"
"25","Arsenal",0.491654768682357,1.43649239400768,-1.95109976993554,-0.0868276902203847,0.666952594672295,-0.101867566305222,0.51289083400029,1.1392793808185,0.981401019073198,1.398910031692,45.7,14.9,0.39,"Regular"
"26","Manchester Utd",0.491654768682357,0.436727940950173,0.337024049945817,-0.266643793692312,0.439770346888224,0.546352541462904,0.00613515766930121,0.510251201619809,0.348083695969854,1.21243853540654,53,2.8,0.07,"Regular"
"27","West Ham",0.491654768682357,0.436727940950173,-0.316725612877429,0.0929884132515428,0.610157032726277,0.11420580295082,0.356966010513832,0.395882441765501,0.217052525672611,1.0378694750542,53.5,-2.1,-0.06,"Regular"
"28","Leicester City",0.491654768682357,0.103473123264338,0.337024049945817,0.0929884132515428,0.723748156618313,0.690401454300265,0.123078775284145,0.167144922056885,-0.00133275815612822,0.895040243856827,59.3,-11.5,-0.3,"Regular"
