# Pl,Age,Playing Time MP,Playing Time Min,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success (xG) xG+/-90
25,25,24,2160,24,264,86,178,87,13,129,Positive
25,27.6,24,2160,24,264,82,168,95,21,120,Negative
25,26.8,23,2070,23,253,82,151,102,19,105,Positive
32,27.6,23,2070,23,253,80,146,105,22,102,Negative
23,27.7,24,2160,24,264,83,172,90,18,126,Negative
28,27.1,24,2160,24,264,84,188,76,20,140,Negative
29,29,25,2250,25,275,85,178,96,15,129,Negative
28,25.6,24,2160,24,264,82,162,102,21,114,Negative
27,27,24,2160,24,264,82,178,86,23,129,Negative
27,28.3,23,2070,23,253,82,153,99,21,108,Positive
22,27.8,25,2250,25,275,84,191,83,20,142,Positive
26,27.6,24,2160,24,264,83,174,90,20,125,Positive
33,26.9,24,2160,24,264,82,164,101,22,115,Negative
27,28.4,24,2160,24,264,85,170,92,15,124,Positive
25,28.8,24,2160,24,264,84,184,80,21,133,Positive
31,27,24,2160,24,264,81,164,96,23,119,Negative
27,24.4,38,3420,38,418,85,304,110,17,232,Positive
31,26.1,38,3420,38,418,85,304,113,20,228,Negative
29,25.4,38,3420,38,418,84,304,114,22,223,Negative
26,26.2,38,3420,38,418,84,308,111,22,231,Positive
23,28.5,38,3420,38,418,86,321,96,19,244,Negative
26,27.4,38,3420,38,418,84,306,111,22,226,Positive
33,26.7,38,3420,38,418,85,317,97,21,240,Negative
28,26.5,38,3420,38,418,84,308,109,23,232,Negative
27,27.7,38,3420,38,418,85,306,111,19,231,Positive
26,27,38,3420,38,418,86,338,79,20,261,Positive
29,27.2,38,3420,38,418,85,303,114,20,227,Positive
29,27.5,38,3420,38,418,85,309,108,18,233,Negative
28,26.2,38,3420,38,418,84,304,114,21,227,Negative
25,25.7,38,3420,38,418,85,307,110,19,232,Negative
25,26.5,38,3420,38,418,85,311,106,18,236,Positive
30,28.4,38,3420,38,418,84,309,106,23,234,Negative
26,27.3,38,3420,38,418,86,310,107,16,230,Negative
24,25.2,38,3420,38,418,86,324,91,17,229,Positive
27,25.8,38,3420,38,418,85,305,108,20,208,Positive
25,28.3,38,3420,38,418,86,339,81,19,235,Negative
27,26,38,3420,38,418,84,308,108,22,208,Positive
24,29.1,38,3420,38,418,86,321,95,17,208,Negative
29,26.3,38,3420,38,418,85,310,106,19,206,Negative
28,25.2,38,3420,38,418,85,306,110,19,203,Negative
23,26.1,38,3420,38,418,83,312,107,25,209,Negative
27,26.5,38,3420,38,418,85,320,99,22,216,Positive
24,26.1,38,3420,38,418,86,339,77,22,240,Positive
27,27.1,38,3420,38,418,85,306,109,19,209,Negative
27,26.7,38,3420,38,418,83,315,103,25,198,Negative
